played_at,track_name,artist_name,album_name,track_id
2025-12-21 20:05:23.392000+00:00,Island In The Sun,Weezer,Weezer,2MLHyLy5z5l5YRp7momlgw
2025-12-21 20:02:03.288000+00:00,Best Friend,Foster The People,Supermodel,7tvOve5IkjYenvqScZ75iQ
2025-12-21 19:57:36.268000+00:00,Genesis,Grimes,Visions,3cjvqsvvU80g7WJPMVh8iq
2025-12-21 19:53:18.437000+00:00,Supermassive Black Hole,Muse,Black Holes and Revelations,3lPr8ghNDBLc2uZovNyLs9
2025-12-21 19:49:45.239000+00:00,Out of Mind,DIIV,Is the Is Are,4tLh6ilwgHAWnkui4hAR3p
2025-12-21 19:45:51.015000+00:00,Take You on a Cruise,Interpol,Antics,6GyCVpYzkVJTbmYa7RjOCg
2025-12-21 19:40:03.032000+00:00,A Time to Be So Small,Interpol,Antics,0gm45HmLVuVq3Hum2B191h
2025-12-20 18:51:17.640000+00:00,King of Sweden,Future Islands,People Who Aren’t There Anymore,72sMWFwbQq4kQ6EqnWdUZf
2025-12-20 07:23:43.991000+00:00,No I In Threesome,Interpol,Our Love To Admire,5ReVynYIFVieuBH9EHOTbj
2025-12-20 07:19:52.083000+00:00,A Time to Be So Small,Interpol,Antics,0gm45HmLVuVq3Hum2B191h
